Twitter_Id,Label,Hashtags,Text
572346080911736832,sexism,"MKR, MKR2015, ",These two are revolting #MKR #MKR2015
572348198062170112,sexism,"katieandnikki, MKR, ",#katieandnikki stop calling yourselves pretty and hot..you're not and saying it a million times doesn't make you either...STFU #MKR
572319306387599360,sexism,"MKR, ",The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl I guess #MKR
572347842456522752,sexism,"MKR, ",Wish these blondes were in that How To Get Away With Murder show....#MKR
572347584339046402,sexism,"salmonellaqueens, MKR, ",Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens #MKR
572347419209252865,sexism,"MKR, ",Not dumb blondes...mmm...perhaps just delusions of adequacy? #MKR
572347385889759232,sexism,"mkr, ",Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!!!! #mkr
572321733841063936,sexism,"MKR2015, MKR, KillerBlondes, basichotdog, nobun, ",@mykitchenrules The Sassy Foods feeling http:\/\/t.co\/TtqS1N27OL #MKR2015 #MKR these girls are vile people #KillerBlondes #basichotdog #nobun
572346263426875392,sexism,"mkr, ",#mkr Omg there restaurant looks like a a little girls room oh my! Gosh
572346235719323648,sexism,"MKR, ",I think they're deconstraucted Pro . . . mowhores #MKR
572332552016437249,sexism,"MKR, ",My deconstructed tart joke from the last season of #MKR http:\/\/t.co\/10LPgtdopB
595166563516329985,sexism,"whistle, fingersinthemouth, MKR, ",Ash found her inner bogun #whistle #fingersinthemouth Ewwww #MKR
572331686156873728,sexism,"MKR, MKR2015, KillerBlondes, ",Nikki...Kermit the frog called and he wants his voice back #MKR #MKR2015 #KillerBlondes @mykitchenrules
572345888258981888,sexism,"killerblondes, MKR, ",There's more moisture in those spatchcocks than the #killerblondes #MKR
571853767047421952,sexism,"mkr, ",The face of very ugly promo girls ! Faces like cats arsehole #mkr excited to see them@go down tonight...literally http:\/\/t.co\/HgoJrfoIeO
572345440600907777,sexism,"mkr, notsassy, ",@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy
572345326004129792,sexism,"killerblondes, mkr, ",Sorry #killerblondes but you are a long LONG way from refined. #mkr
572320554654425088,sexism,"MKR, ","Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR"
572344691443687425,sexism,"MKR, ",its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR
572345137335967744,sexism,"mkr, ",#mkr deconstructed by girls that have deconstructed brains  ! Nearly brought up my dinner when I saw that crap on the plate
568340978861355008,sexism,"MKR, ","In the words of former contestant @whatsnextjake , Katie and Nikki need to calm their farm. #MKR"
572345016275771392,sexism,"MKR, MKR2015, ",I cannot stop looking at Nikki's dreadful black crooked bra #MKR #MKR2015
572344928069500929,sexism,"MKR, ",Trying to find something pretty about these blonde idiots.#MKR
572344614910349312,sexism,"MKR, notaustraliasnexttopmodel, ","I dislike Kat more than the blondes who are going to tell us they're hot another 50,000 times #MKR #notaustraliasnexttopmodel"
572344602469908480,sexism,"MKR2015, MKR, killerblondes, ",I've had better looking shits than these two! #MKR2015 #MKR #killerblondes
572344515261931520,sexism,"MKR, ","@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR"
572344114332626944,sexism,"MKR, ",shit she knows how to walk.....you go girl...one foot in front of the other.....#MKR
572344083017936896,sexism,"mkr, ",R u fucking kidding - catwalk - all that's missing is a pole #mkr
572344011043688448,sexism,"mkr, photography, fashion, ","Actually Nikki really is quite good looking, wait till my shots hit the newstand! #mkr #photography #fashion"
572343828968943616,sexism,"MKR, ",Stick to your day jobs girls #MKR
572343516271001601,sexism,"mkr, ",Obviously natural blondes!! #mkr
572343508306010112,sexism,"MKR, ",jus gonna say it...again....DUMB BITCH! #MKR
572343206479712256,sexism,"MKR, ","Omg. All those girl teams and 2 couples. Hahaha, poor Kats husband and Lloyd. #MKR"
572342944256032768,sexism,"mkr, ",WTF....#mkr the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??
572318519464865792,sexism,"MKR, ","\""It's Katie and Nikki to a T. In that it's trashy and cheap.\""\n\n#MKR"
572342652907044864,sexism,"MKR, ",I will not be using killer blondes as a hash tag! #MKR
573423922764365825,sexism,"MKR, MKR2015, mykitchenrules, ",Shut up Katie and Nikki... That is all :)\n#MKR #MKR2015 #mykitchenrules
